Player Name,Profile URL,Player Region
"kaboose
NV",https://www.vlr.gg/player/78/kaboose,na
"Hydro
spec",https://www.vlr.gg/player/11047/hydro,na
"aika
FH",https://www.vlr.gg/player/26169/aika,na
"vice
LV",https://www.vlr.gg/player/916/vice,na
"JSUNG
DB",https://www.vlr.gg/player/2997/jsung,na
"Barrett
YDZ",https://www.vlr.gg/player/39124/barrett,na
"jawgemo
G2",https://www.vlr.gg/player/3993/jawgemo,na
"Rahr
TORN",https://www.vlr.gg/player/13956/rahr,na
"PureR
SQ",https://www.vlr.gg/player/1857/purer,na
"Hyperz
SLR",https://www.vlr.gg/player/30601/hyperz,na
"neptune
FAIM",https://www.vlr.gg/player/2139/neptune,na
"GianSanity
1MS",https://www.vlr.gg/player/5154/giansanity,na
"Victor
NRG",https://www.vlr.gg/player/261/victor,na
"Xhowi
IL",https://www.vlr.gg/player/8792/xhowi,na
"Kehmicals
TOR",https://www.vlr.gg/player/3132/kehmicals,na
"Stewie2k
TN",https://www.vlr.gg/player/630/stewie2k,na
"Brisk
ASU",https://www.vlr.gg/player/31657/brisk,na
"eVoL
TI",https://www.vlr.gg/player/1861/evol,na
"emluo
PAW",https://www.vlr.gg/player/14867/emluo,na
"aluvily
Sere",https://www.vlr.gg/player/37901/aluvily,na
Toy,https://www.vlr.gg/player/3707/toy,na
"XnB
VLYN",https://www.vlr.gg/player/32665/xnb,na
"k1m
RTL",https://www.vlr.gg/player/45949/k1m,na
"benjii
FOE",https://www.vlr.gg/player/8758/benjii,na
"Trill
STORM",https://www.vlr.gg/player/5126/trill,na
"Drone
DB",https://www.vlr.gg/player/71/drone,na
"kumi
FOE",https://www.vlr.gg/player/25745/kumi,na
"Zoestol
Blue",https://www.vlr.gg/player/11696/zoestol,na
"RaM
CD",https://www.vlr.gg/player/10025/ram,na
"Chillin
SCC",https://www.vlr.gg/player/29617/chillin,na
"practo
Non-",https://www.vlr.gg/player/36036/practo,na
